CIK,IRS_NUMBER,CONFORMED_NAME,MinOfFILING_DATE,FORMER_CONFORMED_NAME,FORMER_NAME_CHANGED,ASSIGNED_SIC,I_COUNTRY,I_STPR,B_STREET,B_STREET1,B_STREET2,B_CITY,B_STPR,B_POSTAL,B_COUNTRY,B_PHONE,M_STREET,M_STREET1,M_STREET2,M_CITY,M_STPR,M_POSTAL,M_COUNTRY
8497,870281240,ASSURANCEAMERICA CORP,20080627,BRAINWORKS VENTURES INC,20001115,6331,US,NV,RIVER EDGE ONE SUITE 600 5500 INTERSTATE NORTH PKWY,RIVER EDGE ONE SUITE 600,5500 INTERSTATE NORTH PKWY,ATLANTA,GA,30328,US,770 933 8911,RIVER EDGE ONE SUITE 600 5500 INTERSTATE NORTH PKWY,RIVER EDGE ONE SUITE 600,5500 INTERSTATE NORTH PKWY,ATLANTA,GA,30328,US
"8504,880422242,""ENERJEX RESOURCES, INC."",20130717,MILLENNIUM PLASTICS CORP,20000525,1311,US,NV,""4040 BROADWAY, SUITE 508 "",""4040 BROADWAY, SUITE 508"",,SAN ANTONIO,TX,78209,US,210-451-5545,""4040 BROADWAY, SUITE 508 "",""4040 BROADWAY, SUITE 508"",,SAN ANTONIO,TX,78209,US"
8670,221467904,AUTOMATIC DATA PROCESSING INC,20080602,,,7374,US,DE,ONE ADP BOULVARD ,ONE ADP BOULVARD,,ROSELAND,NJ,7068,US,9739747849,ONE ADP BOULEVARD ,ONE ADP BOULEVARD,,ROSELAND,NJ,7068,US
8762,,AUTOTRONIC SYSTEMS INC,20130913,,,,,, ,,,,,,,, ,,,,,,
"8775,46145677,SEPARATE ACCOUNT VA B OF COMMONWEALTH ANNUITY & LIFE INSURANCE CO,20090227,SEPARATE ACCOUNT VA B OF ALLMERICA FINAN LFE INS & ANN CO,19951208,,US,MA,""132 TURNPIKE ROAD, SUITE 210 "",""132 TURNPIKE ROAD, SUITE 210"",,SOUTHBOROUGH,MA,1772,US,508-460-2400,""132 TURNPIKE ROAD, SUITE 210 "",""132 TURNPIKE ROAD, SUITE 210"",,SOUTHBOROUGH,MA,1772,US"
"8776,46145677,SEPARATE ACCOUNT VA-C OF COMMONWEALTH ANNUITY& LIFE INSURANCE CO,20090227,SEPARATE ACCOUNT VA C OF ALLMERICA FINAN LFE INS & ANN CO,19951208,,US,MA,""132 TURNPIKE ROAD, SUITE 210 "",""132 TURNPIKE ROAD, SUITE 210"",,SOUTHBOROUGH,MA,1772,US,508-460-2400,""132 TURNPIKE ROAD, SUITE 210 "",""132 TURNPIKE ROAD, SUITE 210"",,SOUTHBOROUGH,MA,1772,US"
8818,951492269,AVERY DENNISON CORP,20140131,AVERY DENNISON CORPORATION,19920703,2670,US,DE,207 GOODE AVENUE ,207 GOODE AVENUE,,GLENDALE,CA,91203,US,626.304.2000,207 GOODE AVENUE ,207 GOODE AVENUE,,GLENDALE,CA,91203,US
8855,160338330,AMERICAN LOCKER GROUP INC,20130514,AVM CORP,19850520,2540,US,DE,2701 REGENT BLVD. SUITE 200,2701 REGENT BLVD.,SUITE 200,DFW AIRPORT,TX,75261,US,(817) 329-16,P.O. BOX 169 ,P.O. BOX 169,,COPPELL,TX,75019,US
8858,111890605,AVNET INC,20080702,,,5065,US,NY,2211 SOUTH 47TH STREET ,2211 SOUTH 47TH STREET,,PHOENIX,AZ,85034,US,4806432000,2211 SOUTH 47TH STREET ,2211 SOUTH 47TH STREET,,PHOENIX,AZ,85034,US
8868,130544597,AVON PRODUCTS INC,20131031,,,2844,US,NY,777 THIRD AVENUE ,777 THIRD AVENUE,,NEW  YORK,NY,10017,US,212-282-5000,777 THIRD AVENUE ,777 THIRD AVENUE,,NEW  YORK,NY,10017,US
"8947,750948250,AZZ INC,20090403,AZTEC MANUFACTURING CO,20000911,3640,US,TX,""ONE MUSEUM PLACE, SUITE 500 3100 W 7TH STREET"",""ONE MUSEUM PLACE, SUITE 500"",3100 W 7TH STREET,FORT WORTH,TX,76107,US,8178100095,""ONE MUSEUM PLACE, SUITE 500 3100 W 7TH STREET"",""ONE MUSEUM PLACE, SUITE 500"",3100 W 7TH STREET,FORT WORTH,TX,76107,US"
9015,41054788,BABSON CAPITAL MANAGEMENT LLC,20090213,BABSON DAVID L & CO INC,19920929,,US,DE,470 ATLANTIC AVENUE 10TH FLOOR,470 ATLANTIC AVENUE,10TH FLOOR,BOSTON,MA,2210,US,617-761-6662,470 ATLANTIC AVENUE 10TH FLOOR,470 ATLANTIC AVENUE,10TH FLOOR,BOSTON,MA,2210,US
9092,390143280,BADGER METER INC,20080616,BADGER METER MANUFACTURING CO,19710729,3824,US,WI,4545 WEST BROWN DEER ROAD ,4545 WEST BROWN DEER ROAD,,MILWAUKEE,WI,53223,US,4143715702,4545 W BROWN DEER RD ,4545 W BROWN DEER RD,,MILWAUKEE,WI,53223,US
9128,952369780,BAGDAD CHASE INC,20081118,,,1000,,,33440 BARRINGTON DRIVE ,33440 BARRINGTON DRIVE,,TEMECULA,CA,92592,US,9513029966,33440 BARRINGTON DRIVE ,33440 BARRINGTON DRIVE,,TEMECULA,CA,92592,US
"9209,132766571,""BAIRD, PATRICK & CO., INC."",20090401,BAIRD PATRICK & CO INC,20000101,,US,DE,HARBORSIDE FINANCIAL CENTER 305 PLAZA 10,HARBORSIDE FINANCIAL CENTER,305 PLAZA 10,JERSEY CITY,NJ,7311,US,201-680-7300,HARBORSIDE FINANCIAL CENTER 305 PLAZA 10,HARBORSIDE FINANCIAL CENTER,305 PLAZA 10,JERSEY CITY `,NJ,7311,US"
9211,396037917,ROBERT W. BAIRD & CO. INCORPORATED,20090323,BAIRD ROBERT W & CO INC/,20020404,,US,WI,777 E. WISCONSIN AVENUE ,777 E. WISCONSIN AVENUE,,MILWAUKEE,WI,53202,US,414-765-3636,P.O. BOX 672 ,P.O. BOX 672,,MILWAUKEE,WI,53201,US
"9220,341087614,""D. L. BAKER & CO., INCORPORATED"",20090325,D L BAKER & CO INC                                      /BD,20020124,,US,OH,19111 DETROIT AVE SUITE 100,19111 DETROIT AVE,SUITE 100,ROCKY RIVER,OH,44116,US,(216) 696-01,19111 DETROIT RD SUITE 100,19111 DETROIT RD,SUITE 100,ROCKY RIVER,OH,44116,US"
"9235,360767530,BKF CAPITAL GROUP INC,20120229,BAKER FENTRESS & CO,19970829,6282,US,DE,""225 N.E. MIZNER BOULEVARD, SUITE 400 "",""225 N.E. MIZNER BOULEVARD, SUITE 400"",,BOCA RATON,FL,33432,US,561 362-4199,""225 N.E. MIZNER BOULEVARD, SUITE 400 "",""225 N.E. MIZNER BOULEVARD, SUITE 400"",,BOCA RATON,FL,33432,US"
9263,250927646,MICHAEL BAKER CORP,20110302,BAKER MICHAEL CORP,19920703,8741,US,PA,AIRSIDE BUSINESS PARK 100 AIRSIDE DRIVE,AIRSIDE BUSINESS PARK,100 AIRSIDE DRIVE,MOON TOWNSHIP,PA,15108,US,4122696300,AIRSIDE BUSINESS PARK 100 AIRSIDE DRIVE,AIRSIDE BUSINESS PARK,100 AIRSIDE DRIVE,MOON TOWNSHIP,PA,15108,US
"9318,591259258,""BALANCED SECURITY PLANNING, INC."",20090806,BALANCED SECURITY PLANNING INC                          /BD,20000101,,US,FL,16956 MCGREGOR BLVD. # 7 ,16956 MCGREGOR BLVD. # 7,,FORT MYERS,FL,33908,US,(239) 267-33,16956 MCGREGOR BLVD. # 7 ,16956 MCGREGOR BLVD. # 7,,FORT MYERS,FL,33908,US"
"9319,231664237,""BCG SECURITIES, INC."",20140318,BCG SECURITIES INC                                      /BD,20020617,,US,PA,51 HADDONFIELD ROAD SUITE 210,51 HADDONFIELD ROAD,SUITE 210,CHERRY HILL,NJ,8002,US,856-393-1950,51 HADDONFIELD ROAD SUITE 210,51 HADDONFIELD ROAD,SUITE 210,CHERRY HILL,NJ,8002,US"
9326,132578432,BALCHEM CORP,20080617,,,2800,US,MD,P O BOX 600 ,P O BOX 600,,NEW HAMPTON,NY,10958,US,8453265632,P O BOX 600 ,P O BOX 600,,NEW HAMPTON,NY,10958,US
9342,430168840,BALDOR ELECTRIC CO,20080707,,,3621,US,MO,5711 R S BOREHAM JR ST P O BOX 2400,5711 R S BOREHAM JR ST,P O BOX 2400,FORT SMITH,AR,72902-2400,US,5016464711, ,,,,,,
9346,350160330,BALDWIN & LYONS INC,20080731,BALDWIN H C AGENCY INC,19720309,6331,US,IN,1099 N MERIDIAN ST STE 700,1099 N MERIDIAN ST,STE 700,INDIANAPOLIS,IN,46204,US,3176369800,1099 NORTH MERIDIAN ST STE 700,1099 NORTH MERIDIAN ST,STE 700,INDIANAPOLIS,IN,46204,US
9389,350160610,BALL CORP,20080724,BALL BROTHERS CO,19731115,3411,US,IN,10 LONGS PEAK DRIVE ,10 LONGS PEAK DRIVE,,BROOMFIELD,CO,80021-2510,US,3034695511,PO BOX 5000 ,PO BOX 5000,,BROOMFIELD,CO,80038-5000,US
9466,520280210,BALTIMORE GAS & ELECTRIC CO,20090708,,,4931,US,MD,2 CENTER PLAZA 110 W. FAYETTE STREET,2 CENTER PLAZA,110 W. FAYETTE STREET,BALTIMORE,MD,21201,US,4104702800,2 CENTER PLAZA 110 W. FAYETTE STREET,2 CENTER PLAZA,110 W. FAYETTE STREET,BALTIMORE,MD,21201,US
9521,42476994,BANCROFT FUND LTD,20081229,BANCROFT CONVERTIBLE FUND INC,19920703,,US,DE,65 MADISON AVENUE SUITE 550,65 MADISON AVENUE,SUITE 550,MORRISTOWN,NJ,7960,US,(973) 631-11,65 MADISON AVENUE SUITE 550,65 MADISON AVENUE,SUITE 550,MORRISTOWN,NJ,7960,US
"9586,0,BANK OF AMERICA NA /MSD,20090724,BANK OF AMERICA NT & SA                                 /MSD,19990819,,,,""ONE BRYANT PARK, NY1-100-04-01 "",""ONE BRYANT PARK, NY1-100-04-01"",,NEW YORK,NY,10036,US,6468552236,901 W. TRADE STREET NC1-003-04-26,901 W. TRADE STREET,NC1-003-04-26,CHARLOTTE,NC,28255,US"
"9634,0,""BOKF, NA"",20130814,BANK OF OKLAHOMA NATIONAL ASSOCIATION /,19920929,,,,ONE WILLIAMS CENTER ,ONE WILLIAMS CENTER,,TULSA,OK,74172,US,9185886193,PO BOX 2300 ,PO BOX 2300,,TULSA,OK,74172,US"
9681,431086402,BANKERS & INVESTORS CO.,20100412,BANKERS & INVESTORS CO                                  /BD,20020515,,US,MO,1300 N. 78TH STREET SUITE G-3,1300 N. 78TH STREET,SUITE G-3,KANSAS CITY,KS,66112,US,(913) 299-50,1300 N. 78TH STREET ,1300 N. 78TH STREET,,KANSAS CITY,KS,66112,US
9712,420127290,PRINCIPAL LIFE INSURANCE CO,20110811,PRINCIPAL MUTUAL LIFE INSURANCE CO,19920929,,,,711 HIGH STREET ,711 HIGH STREET,,DES MOINES,IA,50392-0300,US,5152475111,711 HIGH STREET ,711 HIGH STREET,,DES MOINES,IA,50392-0300,US
9713,420127290,PRINCIPAL LIFE INSURANCE CO SEPARATE ACCOUNT B,20090116,PRINCIPAL MUTUAL LIFE INSURANCE COMPANY SEPARATE ACCOUNT B,19920703,,,,THE PRINCIPAL FINANCIAL GROUP 711 HIGH STREET,THE PRINCIPAL FINANCIAL GROUP,711 HIGH STREET,DES MOINES,IA,50392-2080,US,515-247-5476,THE PRINCIPAL FINANCIAL GROUP 711 HIGH STREET,THE PRINCIPAL FINANCIAL GROUP,711 HIGH STREET,DES MOINES,IA,50392-2080,US
9738,530242530,RELIASTAR LIFE INS CO OF NY VAR ANNUITY FUNDS D E F G H & I,20090225,BANKERS SECURITY VARIABLE ANNUITY FUNDS D E F G H & I,19920703,,US,NY,1000 WOODBURY ROAD ,1000 WOODBURY ROAD,,WOODBURY,NY,11797,US,5166828700,1000 WOODBURY ROAD ,1000 WOODBURY ROAD,,WOODBURY,NY,11797,US
9779,340728587,FAIRCHILD CORP,20080627,BANNER INDUSTRIES INC /DE/,19901118,5600,US,DE,1750 TYSONS BOULEVARD SUITE 1400,1750 TYSONS BOULEVARD,SUITE 1400,MCLEAN,VA,22102,US,7034785800,1750 TYSONS BOULEVARD SUITE 1400,1750 TYSONS BOULEVARD,SUITE 1400,MCLEAN,VA,22102,US
"9874,50346412,""BARCLAY INVESTMENTS, INC."",20090204,BARCLAY INVESTMENTS INC                                 /BD,20020222,,US,DE,254 WEST 54TH STREET 16TH FLOOR,254 WEST 54TH STREET,16TH FLOOR,NEW YORK,NY,10019,US,212-371-3634,254 WEST 54TH STREET 16TH FLOOR,254 WEST 54TH STREET,16TH FLOOR,NEW YORK,NY,10019,US"
9892,221454160,BARD C R INC /NJ/,20080613,,,3841,US,NJ,730 CENTRAL AVE ,730 CENTRAL AVE,,MURRAY HILL,NJ,7974,US,9082778000,730 CENTRAL AVENUE ,730 CENTRAL AVENUE,,MURRAY HILL,NJ,7974,US
9984,60247840,BARNES GROUP INC,20080606,ASSOCIATED SPRING CORP,19760518,3490,US,DE,123 MAIN ST ,123 MAIN ST,,BRISTOL,CT,6010,US,8605837070,123 MAIN ST ,123 MAIN ST,,BRISTOL,CT,6010,US
10048,720496921,BARNWELL INDUSTRIES INC,20080812,BMA CORP/TN,19770324,1311,US,DE,1100 ALAKEA ST. SUITE 2900,1100 ALAKEA ST.,SUITE 2900,HONOLULU,HI,96813,US,808-531-8400,1100 ALAKEA ST. SUITE 2900,1100 ALAKEA ST.,SUITE 2900,HONOLULU,HI,96813,US
10081,221927534,BARR PHARMACEUTICALS INC,20080623,BARR LABORATORIES INC,19920703,2834,US,DE,225 SUMMIT AVE ,225 SUMMIT AVE,,MONTVALE,NJ,07645-1523,US,201-930-3300,225 SUMMIT AVE ,225 SUMMIT AVE,,MONTVALE,NJ,07645-1523,US
10254,840592823,EARTHSTONE ENERGY INC,20130909,BASIC EARTH SCIENCE SYSTEMS INC,19920703,1311,US,DE,633 SEVENTEENTH STREET SUITE 2320,633 SEVENTEENTH STREET,SUITE 2320,DENVER,CO,80202-3619,US,303-296-3076,633 SEVENTEENTH STREET SUITE 2320,633 SEVENTEENTH STREET,SUITE 2320,DENVER,CO,80202-3619,US
10267,136096744,BASIC INVESTORS INC.,20090115,BASIC INVESTORS INC                                     /BD,20020419,,US,NY,510 BROADHOLLOW ROAD SUITE 306 ,510 BROADHOLLOW ROAD SUITE 306,,MELVILLE,NY,11747,US,631-630-2770,510 BROADHOLLOW ROAD SUITE 306 ,510 BROADHOLLOW ROAD SUITE 306,,MELVILLE,NY,11747,US
10329,540135270,BASSETT FURNITURE INDUSTRIES INC,20080619,,,2511,US,VA,PO BOX 626 ,PO BOX 626,,BASSETT,VA,24055,US,5406296209,MAIN ST P O BOX 626,MAIN ST,P O BOX 626,BASSETT,VA,24055,US
10456,360781620,BAXTER INTERNATIONAL INC,20081016,BAXTER TRAVENOL LABORATORIES INC,19880522,3841,US,DE,ONE BAXTER PKWY DF2-1W,ONE BAXTER PKWY,DF2-1W,DEERFIELD,IL,60015,US,8479482000,ONE BAXTER PARKWAY DF2-1W,ONE BAXTER PARKWAY,DF2-1W,DEERFIELD,IL,60015,US
"10724,943320024,""BECHTEL FINANCING SERVICES, LLC"",20090311,BECHTEL FINANCING SERVICES LLC                          /BD,20020403,,US,DE,50 BEALE STREET ,50 BEALE STREET,,SAN FRANCISCO,CA,94105-1895,US,415-768-5909,P.O. BOX 193965 ,P.O. BOX 193965,,SAN FRANCISCO,CA,94119-3965,US"
10742,130477010,BECK MACK & OLIVER LLC,20140129,,,,US,NY,360 MADISON AVE 18TH FLOOR,360 MADISON AVE,18TH FLOOR,NEW YORK,NY,10017,US,2126612640,360 MADISON AVENUE 18TH FLOOR,360 MADISON AVENUE,18TH FLOOR,NEW YORK,NY,10017,US
10795,220760120,BECTON DICKINSON & CO,20080724,,,3841,US,NJ,ONE BECTON DR ,ONE BECTON DR,,FRANKLIN LAKES,NJ,07417-1880,US,2018476800,ONE BECTON DR ,ONE BECTON DR,,FRANKLIN LAKE,NJ,7417,US
"11118,530260880,""INTERCOASTAL CAPITAL MARKETS, INC."",20140808,""BELLAMAH, NEUHAUSER & BARRETT, INC."",20121015,,US,DC,5550 GLADES ROAD SUITE 308,5550 GLADES ROAD,SUITE 308,BOCA RATON,FL,33431-7277,US,845-671-9705,5550 GLADES ROAD SUITE 308,5550 GLADES ROAD,SUITE 308,BOCA RATON,FL,33431-7277,US"
"11199,430178130,BEMIS CO INC,20100312,,,2670,US,MO,""ONE NEENAH CENTER, 4TH FLOOR P.O. BOX 669"",""ONE NEENAH CENTER, 4TH FLOOR"",P.O. BOX 669,NEENAH,WI,54957-0669,US,(920) 727-41,""ONE NEENAH CENTER, 4TH FLOOR P.O. BOX 669"",""ONE NEENAH CENTER, 4TH FLOOR"",P.O. BOX 669,NEENAH,WI,54957-0669,US"
"11499,362763356,""BERGHOFF & COMPANY, INC."",20090610,BERGHOFF & CO INC /IL/                                  /BD,20000101,,US,DE,130 SOUTH CANAL STREET SUITE 817,130 SOUTH CANAL STREET,SUITE 817,CHICAGO,IL,60606-4004,US,312-648-5555,130 SOUTH CANAL STREET SUITE 817,130 SOUTH CANAL STREET,SUITE 817,CHICAGO,IL,60606-4004,US"
11544,221867895,BERKLEY W R CORP,20080626,,,6331,US,DE,475 STEAMBOAT ROAD .,475 STEAMBOAT ROAD,.,GREENWICH,CT,6830,US,2036293000,475 STEAMBOAT ROAD .,475 STEAMBOAT ROAD,.,GREENWICH,CT,6830,US
11788,131542996,BESSEMER SECURITIES CORP,20130814,,,,,,630 FIFTH AVENUE ,630 FIFTH AVENUE,,NEW YORK,NY,10111,US,212-708-9230,630 FIFTH AVENUE ,630 FIFTH AVENUE,,NEW YORK,NY,10111,US
11790,220770670,BESSEMER TRUST CO,20130814,,,,,,100 WOODBRIDGE CENTER DRIVE ,100 WOODBRIDGE CENTER DRIVE,,WOODBRIDGE,NJ,07095-1195,US,212-708-9182,100 WOODBRIDGE CENTER DRIVE ,100 WOODBRIDGE CENTER DRIVE,,WOODBRIDGE,NJ,07095-1195,US
11821,540853592,BEST PRODUCTS CO INC,20131003,,,5399,US,VA,1400 BEST PLAZA ,1400 BEST PLAZA,,RICHMOND,VA,23227,US,8042612000,P.O. BOX 26303 P.O. BOX 26303,P.O. BOX 26303,P.O. BOX 26303,RICHMOND,VA,23260-6303,US
11856,240525900,BETHLEHEM CORP,20131003,,,3567,US,PA,25TH & LENNOX STREETS PO BOX 348,25TH & LENNOX STREETS,PO BOX 348,EASTON,PA,18044,US,6102587111,25TH & LENNOX STREETS ,25TH & LENNOX STREETS,,EASTON,PA,18045,US
11987,10029570,BIDDEFORD & SACO WATER CO,20100604,,,1623,US,ME,181 ELM STREET ,181 ELM STREET,,BIDDEFORD,ME,4005,US,207-282-1543,181 ELM STREET ,181 ELM STREET,,BIDDEFORD,ME,4005,US
12040,590877638,FLANIGANS ENTERPRISES INC,20080812,BIG DADDYS LOUNGES INC,19780309,5812,US,FL,2841 CYPRESS CREEK RD ,2841 CYPRESS CREEK RD,,FORT LAUDERDALE,FL,33309,US,3059749003,2841 CYPRESS CREEK ROAD ,2841 CYPRESS CREEK ROAD,,FORT LAUDERDALE,FL,33309,US
12180,360808480,SAMES CORP,20130718,BINKS SAMES CORP,19970627,3560,US,DE,9201 W BELMONT AVE ,9201 W BELMONT AVE,,FRANKLIN PARK,IL,60131,US,8477375970,9201 WEST BELMONT AVENUE ,9201 WEST BELMONT AVENUE,,FRANKLIN PARK,IL,60131,US
12208,941381833,BIO RAD LABORATORIES INC,20110802,,,3826,US,DE,1000 ALFRED NOBEL DR ,1000 ALFRED NOBEL DR,,HERCULES,CA,94547,US,5107247000,1000 ALFRED NOBEL DR ,1000 ALFRED NOBEL DR,,HERCULES,CA,94547,US
12228,141498866,PYRAMID FUNDS CORPORATION,20090316,PYRAMID FUNDS CORP                                      /BD,20020510,,US,NY,21 EVERETT ROAD EXTENSION ,21 EVERETT ROAD EXTENSION,,ALBANY,NY,12205,US,(518) 459-16,21 EVERETT ROAD EXTENSION ,21 EVERETT ROAD EXTENSION,,ALBANY,NY,12205,US
"12239,520849320,SPHERIX INC,20140408,BIOSPHERICS INC,19920703,6794,US,DE,""6430 ROCKLEDGE DRIVE, #503 "",""6430 ROCKLEDGE DRIVE, #503"",,BETHESDA,MD,20817,US,347-321-7646,""6430 ROCKLEDGE DRIVE, #503 "",""6430 ROCKLEDGE DRIVE, #503"",,BETHESDA,MD,20817,US"
12265,591349341,BIRKELBACH & CO.,20101215,BIRKELBACH & CO                                         /BD,20000101,,US,FL,8080 CYPRESS HOLLOW COURT ,8080 CYPRESS HOLLOW COURT,,PONTE VEDRA BEACH,FL,32082,US,904 725-1550,8080 CYPRESS HOLLOW COURT ,8080 CYPRESS HOLLOW COURT,,PONTE VEDRA BEACH,FL,32082,US
"12311,132509242,""BISHOP, ROSEN & CO., INC."",20090603,BISHOP ROSEN & CO INC,20020618,,US,NY,100 BROADWAY ,100 BROADWAY,,NEW YORK,NY,10005,US,(212) 285-55,100 BROADWAY ,100 BROADWAY,,NEW YORK,NY,10005,US"
12355,520248090,BLACK & DECKER CORP,20080725,BLACK & DECKER MANUFACTURING CO,19850206,3540,US,MD,701 E JOPPA RD ,701 E JOPPA RD,,TOWSON,MD,21286,US,4107163900,701 EAST JOPPA ROAD MAIL STOP TW 290,701 EAST JOPPA ROAD,MAIL STOP TW 290,TOWSON,MD,21286,US
12400,460111677,BLACK HILLS POWER INC,20080814,BLACK HILLS CORP,19920703,4911,US,SD,625 NINTH ST PO BOX 1400,625 NINTH ST,PO BOX 1400,RAPID CITY,SD,57709,US,6053481700,P O BOX 1400 ,P O BOX 1400,,RAPID CITY,SD,57709,US
12406,591056275,JAMES I. BLACK & COMPANY,20090310,BLACK JAMES I & CO                                      /BD,20000320,,US,FL,311 SOUTH FLORIDA AVENUE ,311 SOUTH FLORIDA AVENUE,,LAKELAND,FL,33801,US,863-686-4163,P.O. BOX 24838 ,P.O. BOX 24838,,LAKELAND,FL,33802,US
12469,43244214,HOWLAND CAPITAL MANAGEMENT INC                          /ADV,20090203,BLACKSTONE MANAGEMENT CORP                              /ADV,19940928,,US,MA,75 FEDERAL ST STE 1100,75 FEDERAL ST,STE 1100,BOSTON,MA,02110-1911,US,6173579110, ,,,,,,
12518,362214610,WILLIAM BLAIR & COMPANY L.L.C.,20090917,WILLIAM BLAIR & CO LLC                                  /BD,20020129,,US,DE,222 WEST ADAMS ST ,222 WEST ADAMS ST,,CHICAGO,IL,60606-5312,US,312-236-1600,222 WEST ADAMS STREET ,222 WEST ADAMS STREET,,CHICAGO,IL,60606-5312,US
"12532,930125240,""UMPQUA INVESTMENTS, INC."",20130318,""STRAND, ATKINSON, WILLIAMS & YORK, INC."",20020415,,US,OR,ONE SW COLUMBIA STREET SUITE #300,ONE SW COLUMBIA STREET,SUITE #300,PORTLAND,OR,97258,US,503-546-2443,ONE SW COLUMBIA STREET SUITE #300,ONE SW COLUMBIA STREET,SUITE #300,PORTLAND,OR,97258,US"
12570,221830121,LEXINGTON PRECISION CORP,20080814,BLASIUS INDUSTRIES INC,19890116,3060,US,DE,767 THIRD AVE 29TH FL ,767 THIRD AVE 29TH FL,,NEW YORK,NY,10017,US,2123194657,30195 CHAGRIN BLVD SUITE 208W,30195 CHAGRIN BLVD,SUITE 208W,CLEVELAND,OH,44124-5755,US
12600,420941553,PRINCOR FINANCIAL SERVICES CORPORATION,20140320,PRINCOR FINANCIAL SERVICES CORP                         /BD,20020307,,US,IA,655 9TH STREET ,655 9TH STREET,,DES MOINES,IA,50309,US,515-247-0601,PRINCIPAL FINANCIAL GROUP 711 HIGH STREET,PRINCIPAL FINANCIAL GROUP,711 HIGH STREET,DES MOINES,IA,50392-2080,US
12601,0,PRINCIPAL VARIABLE CONTRACTS FUNDS INC,20120622,PRINCIPAL VARIABLE CONTRACTS FUND INC,19980617,,,,650 8TH STREET ,650 8TH STREET,,DES MOINES,IA,50392-2080,US,515-247-5477,PRINCIPAL FINANCIAL GROUP ,PRINCIPAL FINANCIAL GROUP,,DES MOINES,IA,50392,US
12659,440607856,H&R BLOCK INC,20080617,,,7200,US,MO,ONE H&R BLOCK WAY ,ONE H&R BLOCK WAY,,KANSAS CITY,MO,64105,US,8168543000,ONE H&R BLOCK WAY ,ONE H&R BLOCK WAY,,KANSAS CITY,MO,64105,US
12707,630593908,BLOUNT INC,20100809,,,3420,US,DE,4909 S.E. INTERNATIONAL WAY ,4909 S.E. INTERNATIONAL WAY,,PORTLAND,OR,97222,US,5036538881,4909 S.E. INTERNATIONAL WAY ,4909 S.E. INTERNATIONAL WAY,,PORTLAND,OR,97222,US
"12733,953858923,""BCS HOLDINGS, LLC"",20110815,BLUE CHIP STAMPS,19990325,2060,US,CA,3555 FARNAM STREET ,3555 FARNAM STREET,,OMAHA,NE,68131,US,4023461400,3555 FARNAM STREET ,3555 FARNAM STREET,,OMAHA,NE,68131,US"
12779,240854342,BLUE RIDGE REAL ESTATE CO,20080616,,,6500,US,PA,PO BOX 707 ROUTE 940 AND MOSEYWOOD RD,PO BOX 707,ROUTE 940 AND MOSEYWOOD RD,BLAKESLEE,PA,18610,US,5704438433,PO BOX 707 ROUTE 940 AND MOSEYWOOD RD,PO BOX 707,ROUTE 940 AND MOSEYWOOD RD,BLAKESLEE,PA,18610,US
"12906,160971911,""BODELL OVERCASH ANDERSON & CO., INC."",20091127,BODELL OVERCASH ANDERSON & CO INC                       /BD,20000101,,US,NY,FENTON BUILDING SUITE 200,FENTON BUILDING,SUITE 200,JAMESTOWN,NY,14701,US,716 484-7141,""FENTON BUILDING, SUITE 200 PO BOX 1237"",""FENTON BUILDING, SUITE 200"",PO BOX 1237,JAMESTOWN,NY,14702-1237,US"
12927,910425694,BOEING CO,20120725,BOEING AIRPLANE CO,19730725,3721,US,DE,P O BOX 3707 MS 1F 31 ,P O BOX 3707 MS 1F 31,,SEATTLE,WA,98124,US,312-544-2000,100 N RIVERSIDE PLZ ,100 N RIVERSIDE PLZ,,CHICAGO,IL,60606-1596,US
"12933,231720062,""BOENNING & SCATTERGOOD, INC."",20140320,BOENNING & SCATTERGOOD INC                              /BD,20020124,,US,PA,4 TOWER BRIDGE-200 BARR HARBOR DR-NO.300 ,4 TOWER BRIDGE-200 BARR HARBOR DR-NO.300,,WEST CONSHOHOCKEN,PA,19428-2979,US,610 684 5425,4 TOWER BRIDGE-200 BARR HARBOR DR-NO.300 ,4 TOWER BRIDGE-200 BARR HARBOR DR-NO.300,,WEST CONSHOHOCKEN,PA,19428-2979,US"
12953,221437844,BOGUE ELECTRIC MANUFACTURING CO,20080926,,,3620,US,NJ,100 PENNSYVANIA AVE ,100 PENNSYVANIA AVE,,PATTERSON,NJ,7509,US,2015232200,P O BOX 3027 ,P O BOX 3027,,PATERSON,NJ,7509,US
12978,352471459,MAPLEBY HOLDINGS MERGER CORP,20131106,OFFICEMAX INC,20041101,5110,,,C/O OFFICEMAX INCORPORATED 263 SHUMAN BLVD.,C/O OFFICEMAX INCORPORATED,263 SHUMAN BLVD.,NAPERVILLE,IL,60563,US,(630) 864-50,C/O OFFICEMAX INCORPORATED 263 SHUMAN BLVD.,C/O OFFICEMAX INCORPORATED,263 SHUMAN BLVD.,NAPERVILLE,IL,60563,US
13033,840691531,CAMELOT CORP,20120828,BOLYARD OIL & GAS LTD,19890824,6770,US,NV,20 JOAN PLACE ,20 JOAN PLACE,,NORTH HALEDON,NJ,7508,US,201-940-9400,20 JOAN PLACE ,20 JOAN PLACE,,NORTH HALEDON,NJ,7508,US
