IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Name Cleaned,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Zip Code 5,Financial Institution Filing Type,Last Date/Time Submission Updated On
582971,28845,702479,2479,324170179,FIRST FEDERAL SAVINGS BANK,FIRST FEDERAL SAVINGS BANK,383 SHOSHONE STREET NORTH ,TWIN FALLS,ID,83301,83301,41,2014-10-29T10:26:35
583071,29636,703786,3786,211273765,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF BATH,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF BATH,125 FRONT STR ,BATH,ME,4530,4530,41,2014-11-03T16:28:06
583138,5754,0,15345,71110149,FIRST TRUST & SAVINGS BANK OF ALBANY,FIRST TRUST AND SAVINGS BANK OF ALBANY,209 SOUTH MAIN STREET ,ALBANY,IL,61230,61230,41,2014-10-30T15:02:39
583268,10344,0,0,114916103,SCHERTZ BANK & TRUST,SCHERTZ BANK AND TRUST,519 MAIN STREET ,SCHERTZ,TX,78154,78154,41,2014-10-27T16:37:53
583352,3269,4208,0,113104000,FIRST NATIONAL BANK OF HUNTSVILLE,FIRST NATIONAL BANK OF HUNTSVILLE,1300 11TH STREET ,HUNTSVILLE,TX,77340,77340,41,2014-10-27T15:56:03
583745,936,14401,0,71116062,SUMNER NATIONAL BANK OF SHELDON,SUMNER NATIONAL BANK OF SHELDON,198 SOUTH FOURTH STREET ,SHELDON,IL,60966,60966,41,2014-10-22T11:52:53
583754,3178,4865,0,111903591,"DUBLIN NATIONAL BANK, THE",DUBLIN NATIONAL BANK,128 SOUTH PATRICK ,DUBLIN,TX,76446,76446,41,2014-10-07T10:49:20
583905,17897,0,10711,211274421,KENNEBEC SAVINGS BANK,KENNEBEC SAVINGS BANK,150 STATE STREET ,AUGUSTA,ME,4330,4330,41,2014-10-30T16:21:31
584377,6161,0,0,125102906,KITSAP BANK,KITSAP BANK,619 BAY STREET ,PORT ORCHARD,WA,98366,98366,41,2014-10-30T17:59:45
584724,9463,0,0,43202946,"CITIZENS SAVINGS BANK, THE",CITIZENS SAVINGS BANK,201 SOUTH FOURTH STREET ,MARTINS FERRY,OH,43935,43935,41,2014-10-27T16:22:19
584920,11507,0,12777,53103585,"FIDELITY BANK, THE",FIDELITY BANK,100 SOUTH MAIN STREET ,FUQUAY VARINA,NC,27526,27526,41,2014-10-29T16:57:14
585235,13080,23302,0,71911296,"ALGONQUIN STATE BANK, NATIONAL ASSOCIATION","ALGONQUIN STATE BANK, NATIONAL ASSOCIATION",221 SOUTH MAIN STREET ,ALGONQUIN,IL,60102,60102,41,2014-10-24T15:38:29
585749,9100,0,0,73916668,PILOT GROVE SAVINGS BANK,PILOT GROVE SAVINGS BANK,1341 PILOT GROVE ROAD ,PILOT GROVE,IA,52648,52648,41,2014-10-29T15:37:30
586027,9450,0,0,41202540,FIRST BANK OF OHIO,FIRST BANK OF OHIO,175 S WASHINGTON ST ,TIFFIN,OH,44883,44883,41,2014-10-23T14:51:36
586072,28396,0,0,253271916,FIRST PALMETTO BANK,FIRST PALMETTO BANK,407 DEKALB STREET ,CAMDEN,SC,29020,29020,41,2014-10-27T11:00:41
586241,1861,0,0,73921145,PLEASANTVILLE STATE BANK,PLEASANTVILLE STATE BANK,102 NORTH WASHINGTON STREET ,PLEASANTVILLE,IA,50225,50225,41,2014-10-09T15:38:05
586335,9057,0,17119,62203285,BANK OF MOUNDVILLE,BANK OF MOUNDVILLE,319 MARKET STREET ,MOUNDVILLE,AL,35474,35474,41,2014-10-08T11:52:35
586960,10345,0,0,113120291,PEOPLES STATE BANK,PEOPLES STATE BANK,5850 HIGHWAY 59 SOUTH ,SHEPHERD,TX,77371,77371,41,2014-10-19T14:55:27
587677,28401,0,1520,271972310,EUREKA SAVINGS BANK,EUREKA SAVINGS BANK,250 MARQUETTE STREET ,LA SALLE,IL,61301,61301,41,2014-10-21T16:38:42
587752,3047,6671,0,102101292,FIRST COLORADO NATIONAL BANK,FIRST COLORADO NATIONAL BANK,2ND AND GRAND ,PAONIA,CO,81428,81428,41,2014-10-29T10:52:01
587800,17943,0,6722,211170282,LIBERTY BANK,LIBERTY BANK,315 MAIN STREET BOX 2700,MIDDLETOWN,CT,6457,6457,41,2014-10-30T10:59:14
588058,3270,13614,0,111911091,STATE NATIONAL BANK OF TEXAS,STATE NATIONAL BANK OF TEXAS,104 W PARK AVENUE ,IOWA PARK,TX,76367,76367,41,2014-10-21T15:53:40
588245,2477,0,0,75905004,"BANK OF DEERFIELD, THE",BANK OF DEERFIELD,15 SOUTH MAIN ,DEERFIELD,WI,53531,53531,41,2014-10-29T13:22:06
588348,13735,0,0,73907868,SAVINGS BANK,SAVINGS BANK,185 SOUTH GREEN ,PRIMGHAR,IA,51245,51245,41,2014-10-08T10:29:19
588441,19980,0,0,71109163,ILLINI BANK,ILLINI BANK,3200 WEST ILES AVENUE ,SPRINGFIELD,IL,62711,62711,41,2014-10-28T16:42:53
588478,30519,705489,5489,221271948,FREEHOLD SAVINGS BANK,FREEHOLD SAVINGS BANK,68 WEST MAIN STREET ,FREEHOLD,NJ,7728,7728,41,2014-10-28T15:03:13
589158,505,0,0,91401663,GREAT PLAINS BANK,GREAT PLAINS BANK,702 7TH STREET ,EUREKA,SD,57437,57437,41,2014-10-28T11:17:53
589439,22959,0,0,71124902,ANDALUSIA COMMUNITY BANK,ANDALUSIA COMMUNITY BANK,601 8TH STREET EAST ,ANDALUSIA,IL,61232,61232,41,2014-10-30T18:30:39
589523,16389,0,10996,53207371,BANK OF TRAVELERS REST,BANK OF TRAVELERS REST,42 PLAZA DRIVE ,TRAVELERS REST,SC,29690,29690,41,2014-10-29T10:15:41
589943,14207,0,0,73905527,LINCOLN SAVINGS BANK,LINCOLN SAVINGS BANK,301 WASHINGTON STREET ,CEDAR FALLS,IA,50613,50613,41,2014-10-29T12:45:50
590145,13841,10729,0,73915520,"FIRST NATIONAL BANK OF REMBRANDT, THE",FIRST NATIONAL BANK OF REMBRANDT,101 EAST MAIN STREET ,REMBRANDT,IA,505760107,50576,41,2014-10-30T17:31:27
590220,24919,0,9693,53111690,UWHARRIE BANK,UWHARRIE BANK,167 NORTH SECOND STREET ,ALBEMARLE,NC,28001,28001,41,2014-10-31T16:56:45
590248,18487,0,9151,71123262,TOWN AND COUNTRY BANK,TOWN AND COUNTRY BANK,1925 SOUTH MACARTHUR BOULEVARD ,SPRINGFIELD,IL,62704,62704,41,2014-10-30T16:45:01
590640,5005,0,0,84201825,FNB OXFORD,FNB OXFORD,101 COURTHOUSE SQUARE ,OXFORD,MS,38655,38655,41,2014-10-29T16:37:10
590949,5775,0,0,74905872,BANK OF GENEVA,BANK OF GENEVA,215 EAST LINE STREET ,GENEVA,IN,46740,46740,41,2014-10-27T14:19:05
590976,31840,0,0,284071949,FINANCIAL FEDERAL BANK,FINANCIAL FEDERAL BANK,"1715 AARON BRENNER DRIVE, SUITE 100 ",MEMPHIS,TN,38120,38120,41,2014-10-30T12:37:35
591209,17443,0,8454,211474687,PISCATAQUA SAVINGS BANK,PISCATAQUA SAVINGS BANK,15 PLEASANT STR BOX 568,PORTSMOUTH,NH,3801,3801,41,2014-10-29T09:52:35
591320,15085,0,11451,53201034,ARTHUR STATE BANK,ARTHUR STATE BANK,100 EAST MAIN STREET ,UNION,SC,29379,29379,41,2014-10-22T11:25:20
591357,6110,0,0,84306791,"PEOPLES BANK, THE",PEOPLES BANK,34910 HIGHWAY 104 SOUTH ,SARDIS,TN,38371,38371,41,2014-10-30T11:45:21
591366,5531,5466,0,111313000,"FIRST NATIONAL BANK OF SONORA, THE",FIRST NATIONAL BANK OF SONORA,102 E MAIN STREET ,SONORA,TX,76950,76950,41,2014-10-28T12:51:21
591740,11351,0,0,73920942,PEOPLES TRUST AND SAVINGS BANK,PEOPLES TRUST AND SAVINGS BANK,90 EAST RAILROAD STREET ,RIVERSIDE,IA,52327,52327,41,2014-11-14T14:37:59
591825,4879,8953,14400,53102191,"COMMUNITYONE BANK, NATIONAL ASSOCIATION","COMMUNITYONE BANK, NATIONAL ASSOCIATION",101 SUNSET AVENUE ,ASHEBORO,NC,27203,27203,41,2014-10-30T15:00:51
591937,20443,0,0,71924513,SUBURBAN BANK & TRUST COMPANY,SUBURBAN BANK AND TRUST COMPANY,150 EAST BUTTERFIELD ROAD ,ELMHURST,IL,60126,60126,41,2014-10-30T12:42:21
592439,17224,0,0,71921985,FIRST SECURITY TRUST AND SAVINGS BANK,FIRST SECURITY TRUST AND SAVINGS BANK,7315 GRAND AVENUE ,ELMWOOD PARK,IL,60707,60707,41,2014-10-30T16:36:19
592448,1299,0,0,84106768,EVOLVE BANK & TRUST,EVOLVE BANK AND TRUST,301 SHOPPINGWAY BOULEVARD ,WEST MEMPHIS,AR,72301,72301,41,2014-11-07T15:13:57
592550,15629,0,0,91401142,QUOIN FINANCIAL BANK,QUOIN FINANCIAL BANK,201 N. BROADWAY ,MILLER,SD,57362,57362,41,2014-10-21T12:38:32
592644,15632,0,0,74903670,GREENFIELD BANKING COMPANY,GREENFIELD BANKING COMPANY,1920 NORTH STATE STREET ,GREENFIELD,IN,46140,46140,41,2014-10-17T15:15:08
592859,14084,0,0,101110064,HILLSBORO STATE BANK,HILLSBORO STATE BANK,200 NORTH MAIN ,HILLSBORO,KS,67063,67063,41,2014-10-17T14:55:08
593007,4255,2311,0,11201458,CAMDEN NATIONAL BANK,CAMDEN NATIONAL BANK,2 ELM STREET ,CAMDEN,ME,4843,4843,41,2014-10-29T16:53:38
593052,1678,0,0,91400554,PLAINS COMMERCE BANK,PLAINS COMMERCE BANK,220 MAIN STREET ,HOVEN,SD,57450,57450,41,2014-11-05T14:43:21
593249,15871,0,0,84205452,"PEOPLES BANK, THE",PEOPLES BANK,305 EAST JEFFERSON STREET ,RIPLEY,MS,38663,38663,41,2014-10-27T10:07:49
593333,3599,9183,15737,71110521,"FIRST NATIONAL BANK OF ARENZVILLE, THE",FIRST NATIONAL BANK OF ARENZVILLE,110 SOUTH CHARLES STREET ,ARENZVILLE,IL,62611,62611,41,2014-10-24T11:26:35
593351,17366,0,0,101110116,TIGHTWAD BANK,TIGHTWAD BANK,"131 WEST MARKET STREET, SUITE A ",OSAGE CITY,KS,66523,66523,41,2014-10-22T12:14:26
593771,26816,0,0,124002942,"LIBERTY BANK, INC.","LIBERTY BANK, INC.",326 SOUTH 500 EAST ,SALT LAKE CITY,UT,84102,84102,41,2014-10-28T15:57:07
593940,16413,0,0,71122030,BANK OF STRONGHURST,BANK OF STRONGHURST,BROADWAY AND MAIN STREET ,STRONGHURST,IL,61480,61480,41,2014-10-23T16:44:08
593977,30568,0,5564,271972161,"SOUTH END SAVINGS, SB","SOUTH END SAVINGS, SB",18200 SOUTH HALSTED ,HOMEWOOD,IL,60430,60430,41,2014-10-15T10:29:54
594433,15310,0,11862,62201559,CB&S BANK,CBANDS BANK,200 SOUTH JACKSON ,RUSSELLVILLE,AL,35653,35653,41,2014-10-30T11:19:04
594451,3182,10624,0,111907827,"FIRST NATIONAL BANK OF EDGEWOOD, THE",FIRST NATIONAL BANK OF EDGEWOOD,119 E. FRONT STREET ,EDGEWOOD,TX,75117,75117,41,2014-10-10T14:40:27
594853,26381,20184,0,111103524,"CITIZENS NATIONAL BANK, NATIONAL ASSOCIATION","CITIZENS NATIONAL BANK, NATIONAL ASSOCIATION",2711 EAST TEXAS STREET ,BOSSIER CITY,LA,71111,71111,41,2014-10-29T15:23:50
594938,17453,0,0,71122247,APPLE RIVER STATE BANK,APPLE RIVER STATE BANK,103 NORTH MAIN STREET ,APPLE RIVER,IL,61001,61001,41,2014-10-27T10:24:29
594947,5304,4975,0,75901134,BANK FIRST NATIONAL,BANK FIRST NATIONAL,402 NORTH 8TH STREET ,MANITOWOC,WI,54220,54220,41,2014-10-29T19:54:46
595270,4063,714191,14191,303087995,MIDFIRST BANK,MIDFIRST BANK,501 NW GRAND BOULEVARD ,OKLAHOMA CITY,OK,73118,73118,41,2014-10-30T14:45:45
595337,26021,0,15710,62203573,VALLEY STATE BANK,VALLEY STATE BANK,15565 HIGHWAY 43 ,RUSSELLVILLE,AL,35653,35653,41,2014-10-27T14:53:25
595430,5744,0,13880,71909871,STATE BANK OF THE LAKES,STATE BANK OF THE LAKES,440 LAKE STREET ,ANTIOCH,IL,60002,60002,41,2014-10-30T14:15:35
595869,18503,0,0,122203950,CATHAY BANK,CATHAY BANK,777 NORTH BROADWAY STREET ,LOS ANGELES,CA,90012,90012,31,2014-10-29T19:18:02
595944,11352,0,0,73905637,SANBORN SAVINGS BANK,SANBORN SAVINGS BANK,219 MAIN STREET ,SANBORN,IA,51248,51248,41,2014-10-16T10:47:28
595953,1973,0,0,92105159,"FARMERS STATE BANK OF DENTON, MONTANA","FARMERS STATE BANK OF DENTON, MONTANA",423 BROADWAY ,DENTON,MT,59430,59430,41,2014-10-27T18:23:05
596062,5544,3989,0,111901946,"CITY NATIONAL BANK OF SULPHUR SPRINGS, THE",CITY NATIONAL BANK OF SULPHUR SPRINGS,201 CONNALLY ,SULPHUR SPRINGS,TX,754822611,75482,41,2014-10-30T13:01:09
596156,19401,0,0,113002296,CAPITAL BANK,CAPITAL BANK,10304 EAST FREEWAY ,HOUSTON,TX,77029,77029,41,2014-10-27T16:37:07
596277,28480,0,1672,275071217,COLUMBIA SAVINGS AND LOAN ASSOCIATION,COLUMBIA SAVINGS AND LOAN ASSOCIATION,2020 WEST FOND DU LAC AVENUE ,MILWAUKEE,WI,532050000,53205,41,2014-10-30T15:38:17
596455,19544,0,0,92901117,FIRST MADISON VALLEY BANK,FIRST MADISON VALLEY BANK,213 EAST MAIN ,ENNIS,MT,59729,59729,41,2014-10-30T12:33:39
596642,5629,0,0,82902485,HOMEBANK OF ARKANSAS,HOMEBANK OF ARKANSAS,113 HIGHWAY 165 SOUTH ,PORTLAND,AR,71663,71663,41,2014-10-22T11:59:02
596848,13150,0,0,73900522,AMERICAN TRUST & SAVINGS BANK,AMERICAN TRUST AND SAVINGS BANK,895 MAIN STREET ,DUBUQUE,IA,52001,52001,41,2014-10-13T15:23:46
596978,29745,0,4000,275970020,MARATHON SAVINGS BANK,MARATHON SAVINGS BANK,500 SCOTT STREET ,WAUSAU,WI,54403,54403,41,2014-10-29T15:49:46
597041,5753,0,0,71116224,SAVANNA-THOMSON STATE BANK,SAVANNA-THOMSON STATE BANK,2006 ILLINOIS ROUTE 84 ,THOMSON,IL,61285,61285,41,2014-10-22T13:30:04
597313,444,0,0,31314503,PS BANK,PS BANK,76 CHURCH STREET ,WYALUSING,PA,18853,18853,41,2014-10-29T16:28:14
597452,19234,0,0,65405404,"AMERICAN BANK & TRUST COMPANY, INC.","AMERICAN BANK AND TRUST COMPANY, INC.",1819 NORTH COLUMBIA STREET ,COVINGTON,LA,70433,70433,41,2014-10-22T12:29:38
597546,15799,0,0,75903831,PREMIER COMMUNITY BANK,PREMIER COMMUNITY BANK,230 MAVIS ROAD ,MARION,WI,54950,54950,41,2014-10-23T12:10:18
597658,8317,0,0,92903270,FIRST STATE BANK OF FORSYTH,FIRST STATE BANK OF FORSYTH,880 MAIN ,FORSYTH,MT,59327,59327,41,2014-10-28T17:18:05
598002,18030,0,0,211770093,SAVINGS BANK OF WALPOLE,SAVINGS BANK OF WALPOLE,68 AMES PLAZA LANE ,WALPOLE,NH,3608,3608,41,2014-10-28T14:33:17
598048,5306,4137,0,75901011,"STEPHENSON NATIONAL BANK AND TRUST, THE",STEPHENSON NATIONAL BANK AND TRUST,1820 HALL AVENUE ,MARINETTE,WI,54143,54143,41,2014-10-22T12:10:58
598132,19680,0,16489,61212853,"SECURITY STATE BANK, THE",SECURITY STATE BANK,49 WEST OAK ST ,MCRAE,GA,31055,31055,41,2014-10-22T14:26:38
598534,21440,0,9286,61102400,FIDELITY BANK,FIDELITY BANK,3500 HOLCOMB BRIDGE ROAD ,NORCROSS,GA,30092,30092,41,2014-10-30T15:36:35
598543,11764,0,15826,73905116,SIBLEY STATE BANK,SIBLEY STATE BANK,803 FOURTH AVENUE ,SIBLEY,IA,51249,51249,41,2014-10-28T16:34:11
598646,938,14434,13058,71105798,TUSCOLA NATIONAL BANK,TUSCOLA NATIONAL BANK,900 SOUTH PROGRESS BOULEVARD ,TUSCOLA,IL,61953,61953,41,2014-10-30T11:03:32
598954,1071,0,0,81000566,JEFFERSON BANK AND TRUST COMPANY,JEFFERSON BANK AND TRUST COMPANY,100 THE LEGENDS PARKWAY ,EUREKA,MO,63025,63025,41,2014-10-29T17:16:08
599643,10004,0,0,75903763,FARMERS STATE BANK,FARMERS STATE BANK,86 EAST WATER STREET ,MARKESAN,WI,53946,53946,41,2014-10-14T11:03:42
599764,23474,17043,0,111901519,"AMERICAN NATIONAL BANK OF TEXAS, THE",AMERICAN NATIONAL BANK OF TEXAS,102 W MOORE ,TERRELL,TX,75160,75160,41,2014-10-30T17:16:23
600129,10002,16248,0,43403224,"PROGRESSIVE BANK, NATIONAL ASSOCIATION","PROGRESSIVE BANK, NATIONAL ASSOCIATION",1701 WARWOOD AVE ,WHEELING,WV,26003,26003,41,2014-10-29T14:33:00
600419,14969,0,0,31310552,KISH BANK,KISH BANK,4255  EAST MAIN STREET ,BELLEVILLE,PA,17004,17004,41,2014-10-30T11:26:25
600576,27852,700391,391,301170817,FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF INDEPENDENCE,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF INDEPENDENCE,112 E MYRTLE ST ,INDEPENDENCE,KS,67301,67301,41,2014-10-28T10:37:43
601032,11731,0,0,71112901,FAIRVIEW STATE BANKING COMPANY,FAIRVIEW STATE BANKING COMPANY,420 CARTER STREET ,FAIRVIEW,IL,61432,61432,41,2014-10-16T09:45:26
601041,10871,0,0,81211669,FIRST STATE BANK OF BEECHER CITY,FIRST STATE BANK OF BEECHER CITY,101 SOUTH CHARLES STREET ,BEECHER CITY,IL,62414,62414,41,2014-10-17T11:41:48
601050,24998,0,0,101000019,COMMERCE BANK,COMMERCE BANK,1000 WALNUT STREET ,KANSAS CITY,MO,64106,64106,41,2014-10-30T12:25:29
601153,501,0,0,91402015,FARMERS AND MERCHANTS STATE BANK,FARMERS AND MERCHANTS STATE BANK,101 SOUTH MAIN STREET ,PLANKINTON,SD,57368,57368,41,2014-10-24T14:28:07
601416,659,0,0,22304030,FIVE STAR BANK,FIVE STAR BANK,55 NORTH MAIN STREET ,WARSAW,NY,14569,14569,41,2014-10-22T16:15:38
601443,12327,0,0,75903158,BANK OF MAUSTON,BANK OF MAUSTON,503 STATE ROAD 82 EAST ,MAUSTON,WI,53948,53948,41,2014-10-24T15:30:59
601658,15657,0,0,111911156,ALLIANCE BANK CENTRAL TEXAS,ALLIANCE BANK CENTRAL TEXAS,4721 BOSQUE BLVD. ,WACO,TX,767104607,76710,41,2014-10-22T12:10:18
601733,850,0,0,62201957,PEOPLES SOUTHERN BANK,PEOPLES SOUTHERN BANK,62 SECOND AVENUE NORTH ,CLANTON,AL,35045,35045,41,2014-11-10T16:15:53
602048,11406,0,12118,72403350,"STATE BANK, THE",STATE BANK,175 NORTH LEROY STREET ,FENTON,MI,48430,48430,41,2014-10-30T17:15:03
602150,15879,0,0,114921981,JOURDANTON STATE BANK,JOURDANTON STATE BANK,1301 OAK STREET ,JOURDANTON,TX,78026,78026,41,2014-10-30T10:48:42
602356,22211,21717,0,107006965,PEOPLES NATIONAL BANK,PEOPLES NATIONAL BANK,5175 NORTH ACADEMY BOULEVARD ,COLORADO SPRINGS,CO,80918,80918,41,2014-10-24T13:48:03
602543,10829,0,0,71107262,"PETEFISH, SKILES & COMPANY","PETEFISH, SKILES AND COMPANY",102 WEST BEARDSTOWN STREET ,VIRGINIA,IL,62691,62691,41,2014-10-10T09:19:31
602842,17441,0,0,73906788,DYSART STATE BANK,DYSART STATE BANK,301 MAIN STREET ,DYSART,IA,52224,52224,41,2014-10-15T17:49:14
602972,29789,704091,4091,274970050,PEOPLES FEDERAL SAVINGS BANK OF DEKALB COUNTY,PEOPLES FEDERAL SAVINGS BANK OF DEKALB COUNTY,212 WEST SEVENTH STREET ,AUBURN,IN,46706,46706,41,2014-10-29T10:15:45
603232,8144,0,0,65201831,BANK OF GUEYDAN,BANK OF GUEYDAN,111 MAIN STREET ,GUEYDAN,LA,70542,70542,41,2014-10-22T13:37:56
603540,15152,0,0,75906032,BLACK RIVER COUNTRY BANK,BLACK RIVER COUNTRY BANK,221 MAIN STREET ,BLACK RIVER FALLS,WI,54615,54615,41,2014-10-30T09:41:48
603559,14344,0,0,101110543,FARMERS STATE BANK,FARMERS STATE BANK,110 WEST STATE STREET ,PHILLIPSBURG,KS,67661,67661,41,2014-10-30T14:36:13
603755,16643,0,0,114922430,FIRST STATE BANK,FIRST STATE BANK,2002 NORTH MAIN STREET ,JUNCTION,TX,768494624,76849,41,2014-10-20T15:11:49
604024,763,0,0,42310525,MINSTER BANK,MINSTER BANK,95 WEST 4TH ST. ,MINSTER,OH,45865,45865,41,2014-10-30T13:26:23
604033,3600,5316,0,71106593,"FIRST NATIONAL BANK OF ASSUMPTION, THE",FIRST NATIONAL BANK OF ASSUMPTION,141 NORTH CHESTNUT ,ASSUMPTION,IL,62510,62510,41,2014-10-07T11:18:54
604547,14809,0,0,73915889,HEARTLAND BANK,HEARTLAND BANK,615 6TH AVENUE ,SOMERS,IA,50586,50586,41,2014-10-30T16:58:27
604640,10878,0,0,71916482,WATERMAN STATE BANK,WATERMAN STATE BANK,248 WEST LINCOLN HIGHWAY ,WATERMAN,IL,60556,60556,41,2014-10-07T18:16:35
605571,29813,0,4132,241270246,"PEOPLES SAVINGS AND LOAN COMPANY, THE",PEOPLES SAVINGS AND LOAN COMPANY,300 S WALNUT ST ,BUCYRUS,OH,44820,44820,41,2014-10-30T16:13:07
605610,16039,0,15653,221971138,SAWYER SAVINGS BANK,SAWYER SAVINGS BANK,87 MARKET STREET ,SAUGERTIES,NY,12477,12477,41,2014-10-29T14:07:24
605656,14974,0,0,101114303,FIRST STATE BANK AND TRUST,FIRST STATE BANK AND TRUST,400 BURY STREET ,TONGANOXIE,KS,66086,66086,41,2014-10-29T13:34:06
605973,28554,701830,1830,242272793,HOME CITY FEDERAL SAVINGS BANK,HOME CITY FEDERAL SAVINGS BANK,2454 NORTH LIMESTONE STREET ,SPRINGFIELD,OH,45503,45503,41,2014-10-30T13:20:13
606046,11813,0,0,84201278,BANCORPSOUTH BANK,BANCORPSOUTH BANK,201 SOUTH SPRING STREET ,TUPELO,MS,38804,38804,41,2014-10-30T15:16:19
606176,27872,700450,450,312270463,PIONEER BANK,PIONEER BANK,3000 NORTH MAIN STREET ,ROSWELL,NM,88201,88201,41,2014-10-27T18:45:51
606653,20989,0,0,92901340,INDEPENDENCE BANK,INDEPENDENCE BANK,435 THIRD STREET ,HAVRE,MT,59501,59501,41,2014-10-22T18:42:00
607146,10903,0,0,73906856,CENTRAL STATE BANK,CENTRAL STATE BANK,109 WEST MAIN STREET ,STATE CENTER,IA,50247,50247,41,2014-10-29T11:24:31
607333,19628,0,0,71108630,MIDWEST COMMUNITY BANK,MIDWEST COMMUNITY BANK,510 PARK CREST DRIVE ,FREEPORT,IL,61032,61032,41,2014-10-29T13:52:56
608358,18164,0,0,92105337,GARFIELD COUNTY BANK,GARFIELD COUNTY BANK,444 MAIN STREET ,JORDAN,MT,59337,59337,41,2014-10-28T12:16:55
608451,3281,5932,0,111905434,"FIRST NATIONAL BANK OF KEMP, THE",FIRST NATIONAL BANK OF KEMP,100 STATE HIGHWAY 274 SOUTH ,KEMP,TX,751430587,75143,41,2014-10-29T18:55:14
608844,11306,0,14107,71905943,STATE BANK OF ILLINOIS,STATE BANK OF ILLINOIS,600 EAST WASHINGTON STREET ,WEST CHICAGO,IL,60185,60185,41,2014-10-20T15:48:19
609010,6464,6707,0,31203915,FIRST NATIONAL BANK OF ELMER,FIRST NATIONAL BANK OF ELMER,10 SOUTH MAIN STREET ,ELMER,NJ,8318,8318,41,2014-10-22T12:13:40
609467,23805,0,0,122039179,UNITED PACIFIC BANK,UNITED PACIFIC BANK,1630 SOUTH AZUSA AVENUE ,CITY OF INDUSTRY,CA,91748,91748,41,2014-10-30T20:08:53
609476,27884,700470,470,251573234,HUNTINGTON FEDERAL SAVINGS BANK,HUNTINGTON FEDERAL SAVINGS BANK,1049 5TH AVENUE ,HUNTINGTON,WV,25701,25701,41,2014-10-29T14:10:46
609609,26790,20622,0,26003272,"BNB HANA BANK, NATIONAL ASSOCIATION","BNB HANA BANK, NATIONAL ASSOCIATION",2024 CENTER AVENUE ,FORT LEE,NJ,7024,7024,41,2014-10-28T17:45:39
609645,10489,0,0,73909183,ELGIN STATE BANK,ELGIN STATE BANK,241 CENTER STREET ,ELGIN,IA,52141,52141,41,2014-10-28T12:07:49
609832,10849,0,17062,71109202,TOMPKINS STATE BANK,TOMPKINS STATE BANK,102 SOUTH MAIN STREET ,AVON,IL,61415,61415,41,2014-10-06T11:45:06
610128,11580,0,10229,51404642,"BANK OF SOUTHSIDE VIRGINIA, THE",BANK OF SOUTHSIDE VIRGINIA,17208 HALLIGAN PARK ROAD ,CARSON,VA,23830,23830,41,2014-10-24T11:39:57
610164,5568,0,0,111302846,HERRING BANK,HERRING BANK,2201 CIVIC CIRCLE ,AMARILLO,TX,79109,79109,41,2014-10-23T16:39:40
610539,5686,0,16316,61204382,"BANK OF EDISON, THE",BANK OF EDISON,476 TURNER STREET ,EDISON,GA,39846,39846,41,2014-10-27T13:46:59
610557,21557,0,0,92901418,THREE RIVERS BANK OF MONTANA,THREE RIVERS BANK OF MONTANA,233 E. IDAHO ,KALISPELL,MT,59901,59901,41,2014-10-27T18:04:29
610913,2695,12982,0,42103473,"FIRST NATIONAL BANK OF GRAYSON, THE",FIRST NATIONAL BANK OF GRAYSON,200 S. CAROL MALONE BOULEVARD ,GRAYSON,KY,41143,41143,41,2014-10-28T16:11:01
611031,16152,0,13338,61112092,"PEOPLES BANK, THE",PEOPLES BANK,209 S JEFFERSON ST ,EATONTON,GA,31024,31024,41,2014-10-17T16:04:00
611246,12091,0,0,81220074,FARMERS STATE BANK OF CAMP POINT,FARMERS STATE BANK OF CAMP POINT,206 EAST WOOD STREET ,CAMP POINT,IL,62320,62320,41,2014-10-20T10:45:27
611451,4569,2919,0,101902052,THIRD NATIONAL BANK OF SEDALIA,THIRD NATIONAL BANK OF SEDALIA,301 WEST BROADWAY ,SEDALIA,MO,65301,65301,41,2014-10-31T11:45:01
612159,16971,0,0,101104106,TREGO-WAKEENEY STATE BANK,TREGO-WAKEENEY STATE BANK,134 NORTH MAIN STREET ,WAKEENEY,KS,67672,67672,41,2014-10-24T10:26:11
612551,22497,0,0,102102916,PINE RIVER VALLEY BANK,PINE RIVER VALLEY BANK,301 COMMERCE DRIVE ,BAYFIELD,CO,81122,81122,41,2014-10-17T13:06:46
612878,27898,700508,508,301271758,"HOME SAVINGS AND LOAN ASSOCIATION OF NORBORNE, F.A.","HOME SAVINGS AND LOAN ASSOCIATION OF NORBORNE, F.A.",210 EAST SECOND STREET ,NORBORNE,MO,64668,64668,41,2014-10-29T09:32:55
613008,9712,0,0,11304478,ROCKLAND TRUST COMPANY,ROCKLAND TRUST COMPANY,288 UNION STREET ,ROCKLAND,MA,2370,2370,41,2014-10-28T11:54:39
613156,363,0,0,92102851,"FIRST MONTANA BANK, INC.","FIRST MONTANA BANK, INC.",504 MINERAL AVENUE ,LIBBY,MT,59923,59923,41,2014-10-23T13:21:34
